timestamp,episode,reward,entropy,steps,deaths,p1_lives,p2_lives,p1_wins,p2_wins,,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,count_left_heavy,count_right_heavy,count_left_light,count_right_light,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge,prob_left_heavy,prob_right_heavy,prob_left_light,prob_right_light
2026-04-07 22:40:54,1,-448.40,0.000000,156,15,0,14,0,1,15,8,9,26,18,17,12,9,11,17,14,0.0958,0.0833,0.0866,0.1066,0.0913,0.1029,0.0843,0.0796,0.0866,0.0828,0.1001
2026-04-07 22:45:28,2,-510.10,0.000000,197,15,0,15,0,2,13,15,13,20,15,25,20,20,18,17,21,0.0963,0.0835,0.0872,0.1036,0.0911,0.1022,0.0860,0.0807,0.0863,0.0826,0.1003
2026-04-07 22:49:35,3,-507.10,0.000000,187,15,0,14,0,3,19,12,17,25,15,23,22,10,19,12,13,0.0946,0.0842,0.0863,0.1064,0.0915,0.1024,0.0846,0.0800,0.0886,0.0828,0.0987
2026-04-07 22:53:27,4,-523.10,2.394410,158,15,0,14,0,4,12,15,26,17,8,13,12,13,17,12,13,0.0956,0.0836,0.0870,0.1060,0.0912,0.1023,0.0848,0.0800,0.0877,0.0828,0.0991
2026-04-07 22:58:03,5,-429.30,2.394410,202,17,0,13,0,5,16,24,13,24,25,13,21,14,14,21,17,0.0945,0.0840,0.0863,0.1046,0.0906,0.1021,0.0854,0.0819,0.0896,0.0820,0.0991
2026-04-07 23:02:13,6,-510.90,2.394410,196,15,0,15,0,6,30,12,17,25,17,21,14,14,15,14,17,0.0954,0.0840,0.0863,0.1045,0.0915,0.1030,0.0861,0.0804,0.0875,0.0822,0.0991
2026-04-07 23:05:57,7,-555.10,2.394410,151,15,0,14,0,7,11,16,17,10,15,18,11,16,11,12,14,0.0946,0.0842,0.0861,0.1048,0.0910,0.1027,0.0855,0.0811,0.0889,0.0822,0.0988
2026-04-07 23:09:20,8,-613.30,2.394521,127,15,0,14,0,8,13,8,11,12,9,11,9,13,13,12,16,0.0956,0.0841,0.0870,0.1038,0.0909,0.1024,0.0858,0.0809,0.0886,0.0821,0.0988
2026-04-07 23:13:01,9,-568.80,2.394521,151,15,0,15,0,9,14,12,13,22,9,15,12,13,13,11,17,0.0960,0.0845,0.0869,0.1035,0.0910,0.1025,0.0873,0.0811,0.0875,0.0816,0.0983
2026-04-07 23:17:31,10,-377.00,2.394521,210,15,0,15,0,10,24,14,18,28,21,18,21,15,22,13,16,0.0953,0.0853,0.0859,0.1027,0.0921,0.1019,0.0887,0.0817,0.0862,0.0816,0.0985
2026-04-07 23:21:44,11,-422.10,2.394521,181,15,0,15,0,11,15,11,16,25,11,23,11,18,18,20,13,0.0963,0.0845,0.0870,0.1023,0.0923,0.1020,0.0882,0.0817,0.0861,0.0814,0.0984
2026-04-07 23:25:45,12,-373.10,2.394465,168,15,0,15,0,12,12,13,15,22,21,13,10,12,17,9,24,0.0962,0.0843,0.0870,0.1039,0.0915,0.1025,0.0873,0.0809,0.0866,0.0815,0.0982
2026-04-07 23:29:09,13,-590.80,2.394465,137,15,0,15,0,13,12,13,16,14,14,12,15,10,7,9,15,0.0951,0.0846,0.0855,0.1050,0.0920,0.1032,0.0870,0.0810,0.0878,0.0812,0.0974
2026-04-07 23:32:44,14,-539.50,2.394465,146,15,0,15,0,14,12,12,19,13,11,15,15,10,9,9,21,0.0958,0.0849,0.0862,0.1041,0.0913,0.1027,0.0878,0.0812,0.0874,0.0810,0.0975
2026-04-07 23:36:38,15,-421.00,2.394465,167,15,0,15,0,15,13,14,18,15,16,22,16,12,14,14,13,0.0959,0.0848,0.0859,0.1040,0.0920,0.1029,0.0879,0.0812,0.0862,0.0810,0.0981
2026-04-07 23:40:23,16,-443.90,2.394437,162,15,0,15,0,16,18,20,9,14,23,21,7,16,11,9,14,0.0965,0.0842,0.0867,0.1044,0.0914,0.1030,0.0874,0.0809,0.0868,0.0809,0.0978
2026-04-07 23:44:54,17,-508.40,2.394437,186,16,0,14,0,17,16,16,16,13,10,16,15,21,20,15,28,0.0955,0.0845,0.0862,0.1050,0.0928,0.1031,0.0870,0.0813,0.0871,0.0809,0.0965
2026-04-07 23:48:27,18,-557.80,2.394437,143,15,0,15,0,18,11,7,16,21,12,19,9,8,12,10,18,0.0953,0.0851,0.0850,0.1036,0.0923,0.1035,0.0882,0.0816,0.0876,0.0805,0.0971
2026-04-07 23:52:40,19,-449.20,2.394437,182,16,0,14,0,19,23,9,8,19,17,20,17,15,18,16,20,0.0946,0.0849,0.0842,0.1057,0.0918,0.1032,0.0869,0.0824,0.0888,0.0802,0.0973
2026-04-07 23:56:43,20,-508.20,2.394329,181,15,0,15,0,20,17,17,20,19,15,27,13,14,13,13,13,0.0963,0.0851,0.0860,0.1024,0.0922,0.1027,0.0891,0.0822,0.0859,0.0804,0.0977
2026-04-08 00:01:12,21,-448.40,2.394329,210,15,0,15,0,21,19,23,22,21,28,15,19,17,10,17,19,0.0959,0.0847,0.0853,0.1055,0.0925,0.1035,0.0878,0.0812,0.0875,0.0802,0.0959
2026-04-08 00:05:23,22,-382.60,2.394329,188,15,0,15,0,22,23,15,11,24,18,16,15,17,13,15,21,0.0952,0.0856,0.0843,0.1060,0.0922,0.1037,0.0885,0.0816,0.0864,0.0803,0.0962
2026-04-08 00:09:20,23,-409.60,2.394329,161,15,0,15,0,23,17,11,13,14,14,14,10,19,16,17,16,0.0962,0.0850,0.0854,0.1042,0.0922,0.1032,0.0889,0.0821,0.0861,0.0802,0.0966
