timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge
2026-04-05 10:49:12,1,20,1290.34,348,0,20,0,1,1.9212,46,47,56,55,42,44,58,0.1406,0.1379,0.1488,0.1406,0.1414,0.1514,0.1391
2026-04-05 10:53:54,2,20,-786.61,295,0,20,0,2,1.8995,45,54,59,22,42,26,47,0.1509,0.1767,0.1912,0.0877,0.1413,0.0830,0.1691
2026-04-05 10:59:01,3,20,-397.91,348,0,20,0,3,1.9092,59,65,50,37,41,29,67,0.1745,0.1446,0.1424,0.1218,0.1053,0.0968,0.2147
2026-04-05 11:05:25,4,20,433.68,521,0,20,0,4,1.9165,109,55,70,75,54,51,107,0.2203,0.1072,0.1284,0.1287,0.1028,0.1244,0.1883
2026-04-05 11:10:44,5,20,480.09,402,0,20,0,5,1.9099,83,39,53,57,55,53,62,0.2175,0.1088,0.1392,0.1285,0.1161,0.1287,0.1613
2026-04-05 11:15:36,6,20,178.01,352,0,20,0,6,1.8578,75,28,59,46,47,46,51,0.2367,0.0997,0.1614,0.1181,0.1178,0.1217,0.1446
2026-04-05 11:19:50,7,20,-495.02,272,0,20,0,7,1.8254,74,27,64,21,25,30,31,0.2916,0.0801,0.1971,0.0878,0.1253,0.1103,0.1078
2026-04-05 11:24:50,8,20,-628.20,375,0,20,0,8,1.8662,108,19,79,32,71,46,20,0.2802,0.0868,0.2004,0.0778,0.1583,0.1170,0.0795
2026-04-05 11:29:20,9,20,-100.72,310,0,20,0,9,1.9173,72,31,51,32,70,32,22,0.2370,0.1082,0.1749,0.0903,0.1804,0.1293,0.0799
2026-04-05 11:34:30,10,20,-11.62,372,0,20,0,10,1.9367,67,52,51,47,72,50,33,0.1807,0.1307,0.1545,0.1169,0.1747,0.1463,0.0962
2026-04-05 11:40:16,11,20,979.45,443,0,20,0,11,1.9383,83,55,57,59,67,56,66,0.1669,0.1378,0.1406,0.1320,0.1599,0.1531,0.1097
2026-04-05 11:46:48,12,20,1554.38,519,0,20,0,12,1.9338,80,71,65,62,82,94,65,0.1703,0.1380,0.1303,0.1373,0.1555,0.1570,0.1116
2026-04-05 11:52:49,13,20,-24.02,481,0,20,0,13,1.9194,88,68,45,74,72,78,56,0.1818,0.1364,0.1173,0.1393,0.1543,0.1639,0.1071
2026-04-05 11:57:43,14,21,1325.97,356,0,19,0,14,1.8883,58,49,30,42,62,78,37,0.1991,0.1287,0.0963,0.1273,0.1480,0.1906,0.1100
2026-04-05 12:03:19,15,21,1230.86,430,0,19,0,15,1.8065,93,72,24,53,50,99,39,0.2205,0.1162,0.0739,0.1090,0.1382,0.2298,0.1124
2026-04-05 12:08:21,16,20,605.11,409,0,20,0,16,1.6299,113,45,19,32,45,120,35,0.2595,0.0937,0.0457,0.0832,0.1221,0.2908,0.1049
2026-04-05 12:16:14,17,22,1708.81,813,0,18,0,17,1.3505,248,55,17,51,65,302,75,0.2988,0.0626,0.0220,0.0518,0.0928,0.3848,0.0872
2026-04-05 12:27:40,18,23,2008.33,1294,0,16,0,18,1.0450,384,35,20,42,78,666,69,0.3110,0.0323,0.0102,0.0245,0.0539,0.5110,0.0571
2026-04-05 12:38:07,19,23,952.10,1206,0,17,0,19,0.8854,331,19,7,12,28,775,34,0.2675,0.0163,0.0076,0.0125,0.0276,0.6356,0.0330
2026-04-05 12:48:33,20,23,1281.97,1130,0,17,0,20,0.7721,243,12,11,10,25,799,30,0.2234,0.0116,0.0072,0.0094,0.0184,0.7070,0.0230
