timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge
2026-04-06 19:45:41,1,5,-10.36,93,0,5,0,1,0.0000,16,11,14,12,11,14,15,0.1463,0.1447,0.1497,0.1369,0.1380,0.1404,0.1440
2026-04-06 19:47:05,2,5,-16.98,80,0,5,0,2,0.0000,12,13,14,11,13,13,4,0.1462,0.1452,0.1489,0.1374,0.1380,0.1406,0.1437
2026-04-06 19:48:17,3,5,-15.54,62,0,5,0,3,0.0000,9,11,8,7,10,9,8,0.1463,0.1447,0.1497,0.1372,0.1378,0.1405,0.1438
2026-04-06 19:50:11,4,5,-1.04,130,0,5,0,4,0.0000,13,25,18,22,10,23,19,0.1466,0.1443,0.1499,0.1372,0.1379,0.1404,0.1437
2026-04-06 19:51:39,5,5,-11.77,85,0,5,0,5,0.0000,11,17,13,12,8,10,14,0.1464,0.1447,0.1496,0.1372,0.1379,0.1405,0.1438
2026-04-06 19:52:56,6,5,-18.86,73,0,5,0,6,0.0000,13,10,11,13,11,9,6,0.1463,0.1447,0.1496,0.1370,0.1379,0.1405,0.1439
2026-04-06 19:53:59,7,5,-18.56,42,0,5,0,7,0.0000,5,6,9,5,7,5,5,0.1462,0.1446,0.1497,0.1372,0.1378,0.1406,0.1440
2026-04-06 19:55:39,8,5,-18.79,110,0,5,0,8,1.9376,18,12,19,11,15,13,22,0.1464,0.1445,0.1497,0.1372,0.1380,0.1406,0.1437
2026-04-06 19:57:04,9,5,-15.52,86,0,5,0,9,1.9376,10,14,10,16,9,11,16,0.1275,0.1587,0.1308,0.1633,0.1118,0.1483,0.1596
2026-04-06 19:58:24,10,5,-19.06,78,0,5,0,10,1.9376,11,8,12,11,8,17,11,0.1273,0.1587,0.1308,0.1636,0.1114,0.1485,0.1598
2026-04-06 19:59:46,11,5,-19.30,81,0,5,0,11,1.9376,9,18,4,17,9,14,10,0.1273,0.1588,0.1307,0.1636,0.1113,0.1485,0.1597
2026-04-06 20:01:21,12,5,-3.63,108,0,5,0,12,1.9376,23,15,14,14,12,18,12,0.1289,0.1582,0.1325,0.1605,0.1138,0.1478,0.1583
2026-04-06 20:02:58,13,5,-6.33,108,0,5,0,13,1.9376,9,21,5,20,20,14,19,0.1275,0.1588,0.1307,0.1634,0.1115,0.1485,0.1597
2026-04-06 20:04:00,14,5,-14.13,42,0,5,0,14,1.9376,6,10,4,4,5,7,6,0.1274,0.1587,0.1307,0.1634,0.1117,0.1483,0.1599
2026-04-06 20:05:11,15,5,-19.18,61,0,5,0,15,1.9376,11,9,10,7,5,7,12,0.1273,0.1587,0.1307,0.1634,0.1116,0.1483,0.1599
2026-04-06 20:06:30,16,5,-18.67,68,0,5,0,16,1.9380,4,13,9,11,12,10,9,0.1274,0.1586,0.1308,0.1635,0.1115,0.1485,0.1597
2026-04-06 20:07:33,17,5,-13.41,49,0,5,0,17,1.9380,9,11,2,3,11,7,6,0.1349,0.1323,0.1134,0.1570,0.1304,0.1635,0.1685
2026-04-06 20:09:10,18,5,-0.90,115,0,5,0,18,1.9380,17,17,7,20,17,20,17,0.1351,0.1323,0.1134,0.1570,0.1302,0.1634,0.1685
2026-04-06 20:10:38,19,5,-18.94,91,0,5,0,19,1.9380,8,17,7,15,11,13,20,0.1349,0.1323,0.1136,0.1574,0.1301,0.1633,0.1684
2026-04-06 20:12:06,20,5,-17.03,89,0,5,0,20,1.9380,13,14,12,11,9,17,13,0.1350,0.1323,0.1136,0.1571,0.1305,0.1633,0.1683
2026-04-06 20:13:33,21,5,-10.32,90,0,5,0,21,1.9380,15,19,8,14,9,8,17,0.1358,0.1341,0.1173,0.1544,0.1315,0.1606,0.1662
2026-04-06 20:15:29,22,5,-12.06,148,0,5,0,22,1.9380,25,21,16,22,16,23,25,0.1349,0.1324,0.1136,0.1570,0.1304,0.1634,0.1684
2026-04-06 20:17:12,23,5,-16.39,116,0,5,0,23,1.9380,15,18,16,15,13,15,24,0.1361,0.1338,0.1169,0.1544,0.1312,0.1612,0.1664
2026-04-06 20:18:38,24,5,-19.48,93,0,5,0,24,1.9176,10,10,8,17,15,14,19,0.1348,0.1324,0.1136,0.1572,0.1303,0.1633,0.1685
2026-04-06 20:20:27,25,5,-1.66,142,0,5,0,25,1.9176,19,15,10,20,23,35,20,0.1555,0.1134,0.0899,0.1576,0.1437,0.1894,0.1506
2026-04-06 20:22:36,26,5,-6.58,171,0,5,0,26,1.9176,24,22,18,25,26,34,22,0.1561,0.1127,0.0894,0.1573,0.1434,0.1904,0.1507
2026-04-06 20:23:55,27,5,-17.76,83,0,5,0,27,1.9176,13,10,5,11,8,15,21,0.1560,0.1095,0.0846,0.1601,0.1433,0.1969,0.1495
2026-04-06 20:25:17,28,5,-19.83,86,0,5,0,28,1.9176,17,11,8,21,10,8,11,0.1560,0.1095,0.0847,0.1600,0.1434,0.1966,0.1498
2026-04-06 20:26:32,29,5,-21.01,71,0,5,0,29,1.9176,10,11,5,10,11,12,12,0.1560,0.1095,0.0847,0.1602,0.1434,0.1964,0.1497
2026-04-06 20:27:52,30,5,-18.53,80,0,5,0,30,1.9176,11,13,5,11,13,12,15,0.1561,0.1094,0.0846,0.1601,0.1435,0.1966,0.1497
2026-04-06 20:29:54,31,5,15.04,167,0,5,0,31,1.9176,27,16,15,24,24,35,26,0.1565,0.1094,0.0847,0.1598,0.1437,0.1964,0.1495
2026-04-06 20:31:23,32,5,-19.38,100,0,5,0,32,1.9019,19,13,9,13,9,23,14,0.1561,0.1094,0.0846,0.1601,0.1433,0.1967,0.1498
2026-04-06 20:32:34,33,5,-20.16,61,0,5,0,33,1.9019,7,6,9,10,9,13,7,0.1492,0.1000,0.0855,0.1751,0.1529,0.2043,0.1329
