timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge
2026-04-05 13:49:24,1,5,-245.99,83,0,4,0,1,1.9442,9,14,8,11,17,13,11,0.1477,0.1382,0.1462,0.1414,0.1394,0.1428,0.1444
2026-04-05 13:50:45,2,5,-248.85,72,0,4,0,2,1.9086,11,13,9,13,9,9,8,0.1427,0.1813,0.1235,0.1362,0.1701,0.1112,0.1350
2026-04-05 13:52:39,3,5,-161.73,126,0,4,0,3,1.8426,13,27,10,17,23,21,15,0.1338,0.2163,0.0831,0.1560,0.1971,0.0714,0.1423
2026-04-05 13:53:47,4,5,-472.27,47,0,5,0,4,1.8077,3,15,4,6,11,1,7,0.1229,0.2285,0.0672,0.1574,0.2373,0.0445,0.1422
2026-04-05 13:54:50,5,5,-474.19,42,0,5,0,5,1.7806,7,12,1,8,7,3,4,0.1215,0.2402,0.0670,0.1607,0.2275,0.0359,0.1473
2026-04-05 13:56:07,6,5,-472.37,64,0,5,0,6,1.7245,6,16,4,13,10,1,14,0.1046,0.2736,0.0595,0.2033,0.1776,0.0224,0.1589
2026-04-05 13:57:25,7,5,-474.24,62,0,5,0,7,1.6367,4,20,2,19,3,1,13,0.0650,0.3203,0.0726,0.2281,0.0966,0.0188,0.1987
2026-04-05 13:58:36,8,5,-469.23,50,0,5,0,8,1.5407,1,16,3,10,3,0,17,0.0397,0.2409,0.1015,0.2225,0.0538,0.0125,0.3291
2026-04-05 14:00:36,9,5,-303.82,133,0,5,0,9,1.6704,5,25,14,27,6,1,55,0.0579,0.2644,0.1309,0.1880,0.0370,0.0127,0.3092
2026-04-05 14:02:03,10,5,-236.14,77,0,4,0,10,1.7778,7,15,12,27,2,1,13,0.1331,0.1806,0.1218,0.2879,0.0419,0.0140,0.2207
2026-04-05 14:03:51,11,5,-256.98,124,0,5,0,11,1.8134,21,10,21,25,8,6,33,0.2222,0.0869,0.1599,0.1986,0.0888,0.0237,0.2198
2026-04-05 14:05:52,12,5,-455.29,157,0,5,0,12,1.7819,46,12,20,24,22,6,27,0.2445,0.0550,0.1257,0.1870,0.1481,0.0461,0.1936
2026-04-05 14:07:23,13,5,-474.72,108,0,5,0,13,1.7888,31,7,8,27,13,3,19,0.2486,0.0501,0.0866,0.2555,0.1647,0.0647,0.1300
