timestamp,episode,deaths,reward,steps,p1_lives,p2_lives,p1_wins,p2_wins,entropy,count_neutral,count_move_left,count_move_right,count_jump,count_light,count_heavy,count_dodge,prob_neutral,prob_move_left,prob_move_right,prob_jump,prob_light,prob_heavy,prob_dodge
2026-04-02 22:03:58,1,20,-1561.50,640,0,20,0,1,1.7915,82,33,48,162,110,124,81,0.1474,0.0639,0.0906,0.2125,0.1497,0.2017,0.1341
2026-04-02 22:12:06,2,20,-1087.50,840,0,20,0,2,1.6548,181,13,39,224,159,122,102,0.1951,0.0214,0.0630,0.2590,0.1806,0.1623,0.1186
2026-04-02 22:22:09,3,20,-898.80,1072,0,20,0,3,1.4285,154,9,42,371,125,241,130,0.1404,0.0094,0.0437,0.3337,0.1298,0.2229,0.1201
2026-04-02 22:31:13,4,22,-934.50,895,0,18,0,4,1.2861,8,7,19,155,101,376,229,0.0093,0.0076,0.0251,0.1739,0.0900,0.4322,0.2618
2026-04-02 22:41:01,5,22,-1167.70,987,0,17,0,5,1.2242,7,8,20,125,64,474,289,0.0073,0.0072,0.0147,0.1270,0.0747,0.4870,0.2821
2026-04-02 22:53:04,6,22,-1199.60,1259,0,18,0,6,1.2522,9,9,19,111,66,548,497,0.0072,0.0072,0.0120,0.0858,0.0562,0.4298,0.4019
2026-04-02 23:05:56,7,22,-1213.20,1378,0,18,0,7,0.8984,10,4,14,123,80,375,772,0.0072,0.0072,0.0105,0.0849,0.0582,0.2769,0.5552
2026-04-02 23:17:45,8,23,-929.40,1241,0,17,0,8,1.0751,13,12,7,116,128,930,35,0.0071,0.0072,0.0079,0.1021,0.0839,0.7594,0.0324
2026-04-02 23:30:48,9,24,-875.60,1374,0,16,0,9,1.1724,4,10,10,201,328,790,31,0.0071,0.0072,0.0077,0.1553,0.2207,0.5849,0.0171
2026-04-02 23:43:07,10,22,-952.40,1306,0,18,0,10,1.1543,7,12,11,313,210,735,18,0.0071,0.0072,0.0075,0.2415,0.1569,0.5678,0.0120
2026-04-02 23:55:17,11,23,-1024.70,1278,0,17,0,11,0.4496,13,12,7,230,145,857,14,0.0071,0.0072,0.0074,0.1743,0.1161,0.6770,0.0109
2026-04-03 00:04:44,12,25,-800.60,934,0,15,0,12,0.4192,8,9,8,13,37,856,3,0.0071,0.0071,0.0072,0.0107,0.0482,0.9113,0.0084
2026-04-03 00:17:30,13,24,-590.50,1349,0,15,0,13,0.5456,15,10,10,9,74,1223,8,0.0071,0.0072,0.0072,0.0077,0.0638,0.8986,0.0085
2026-04-03 00:30:25,14,23,-965.00,1375,0,17,0,14,0.5831,10,6,16,8,150,1166,19,0.0071,0.0072,0.0072,0.0076,0.1091,0.8515,0.0102
2026-04-03 00:44:32,15,26,-488.00,1505,0,14,0,15,0.6844,8,12,11,12,190,1252,20,0.0071,0.0072,0.0072,0.0073,0.1317,0.8298,0.0096
2026-04-03 00:56:21,16,25,-928.00,1220,0,15,0,16,0.6379,9,11,13,3,224,949,11,0.0071,0.0072,0.0073,0.0075,0.1763,0.7824,0.0121
2026-04-03 01:07:40,17,24,-891.10,1174,0,16,0,17,0.6509,6,8,7,4,147,988,14,0.0071,0.0072,0.0072,0.0073,0.1470,0.8139,0.0103
2026-04-03 01:17:42,18,23,-853.70,1023,0,17,0,18,0.6738,5,9,5,6,182,810,6,0.0071,0.0072,0.0072,0.0072,0.1721,0.7892,0.0100
